Static,Odds,
USU,SF,-100000 -160 -150 -165 -175 -160 -188 -175 +4000 +130 +130 +140 +140 +135 +138 +140
ORSTU,USC,+300 +750 +700 +745 +700 +1900 +700 +700 -430 -1200 -1100 -1310 -1250 -10000 -1613 -1250
STAN,ASU,+3000 +200 +190 +190 +180 +4000 +188 +180 -100000 -250 -230 -235 -225 -66666 -250 -225
NWU,MSU,-310 +210 +205 +225 +215 -1250 +200 +215 +230 -275 -250 -280 -265 +550 -300 -275
ALCST,TENN,+4000 +2500 +8000 +1800 -100000 -15000 -99995 -10000
FIU,FLGC,+285 +260 +270 +265 +265 +8000 +250 +255 -400 -350 -340 -440 -335 -99995 -376 -335
WHIT,CSUNR,
MINN,PUR,+4000 +1400 +1325 +8000 +1100 -100000 -4000 -4316 -99995 -3333
CAL,ARZ,+4000 +1600 +8000 +1400 -100000 -7000 -99995 -5000
OREGON,UCLA,+4000 +400 +400 +420 +400 +8000 +400 +390 -100000 -550 -550 -585 -530 -99995 -654 -530
SOUMIS,NWST,-310 -275 -270 -270 -265 -275 -300 -265 +200 +220 +220 +215 +215 +210 +200 +210
NEB,CREIGH,-100000 +675 +900 +965 +800 -99995 +700 +800 +4000 -1100 -1700 -13750 -1430 +8000 -1613 -1430
TXAMC,DEN,+115 +125 +125 +130 +8000 +125 +120 -138 -150 -145 -155 -99995 -161 -148
SEMST,MIZZ,+1600 +1600 +8000 +1400 -4500 -7000 -99995 -5000
UTAH,WSU,-2500 +125 +120 +125 +123 -525 +115 +120 +900 -155 -140 -145 -148 +320 -150 -148
ALCE,BELLA,
UNC,VTECH,+3000 -110 -120 -125 -109 +2800 -110 -110 -50000 -110 +100 -115 -109 -29412 -118 -110
USI,CHIST,-275 -275 -250 -275 -240 +8000 -300 -240 +220 +210 +205 +220 +195 -99995 +200 +190
COL,WASH,+750 -110 -130 -125 -118 +8000 -125 -118 -1600 -110 +110 +105 -103 -99995 -105 -103
RICE,TXST,+188 +170 +175 +175 +165 -99995 +170 +165 -230 -210 -210 -215 -205 +8000 -250 -205
STJOHN,IAST,+4000 +230 +230 +230 +230 +8000 +220 +225 -100000 -300 -280 -290 -286 -99995 -333 -286
NIAGRA,QUIN,+225 +225 +235 +220 +235 -650 +220 +235 -280 -275 -290 -275 -295 +375 -333 -295
SWAD,HCU,
FAU,EMICH,-550 -500 -440 -505 -435 -99995 -435 +400 +360 +340 +370 +290 +7000 +290
SALA,UAB,+3500 +650 +700 +760 +700 +8000 +700 +700 -50000 -1100 -1100 -1355 -1250 -99995 -1613 -1250
SAMF,UCF,-164 +250 +250 +255 +250 +135 +240 +245 -128 -300 -320 -325 -315 -160 -333 -315
MUSK,AKRON,
BROWN,HARTFD,-720 -500 -650 -645 -670 -99995 -654 -670 +450 +360 +450 +450 +475 +8000 +400 +460
STETSN,UFL,+4000 +950 +1000 +1075 +1150 +8000 +1000 +1150 -100000 -2000 -2000 -2575 -5000 -99995 -2500 -5000
UVM,MERR,-320 -300 -300 -310 -315 -350 -333 -315 +255 +240 +240 +245 +255 +240 +240 +250
